original_id,short_id,accession,organism,country,year
"MK425029.1 Klebsiella pneumoniae strain ASKPNKP6 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0033_Unknown_Unknown,MK425029.1,Unknown,Unknown,Unknown
"MK425030.1 Klebsiella pneumoniae strain ASKPNKP9 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0034_Unknown_Unknown,MK425030.1,Unknown,Unknown,Unknown
"MK425031.1 Klebsiella pneumoniae strain ASKPNKP16 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0035_Unknown_Unknown,MK425031.1,Unknown,Unknown,Unknown
"MK425032.1 Klebsiella pneumoniae strain ASKPNKP19 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0036_Unknown_Unknown,MK425032.1,Unknown,Unknown,Unknown
"MK425033.1 Klebsiella pneumoniae strain ASKPNKP20 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0037_Unknown_Unknown,MK425033.1,Unknown,Unknown,Unknown
"MK425034.1 Klebsiella pneumoniae strain ASKPNKP21 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0038_Unknown_Unknown,MK425034.1,Unknown,Unknown,Unknown
"MK425036.1 Klebsiella pneumoniae strain ASKPNKP23 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0039_Unknown_Unknown,MK425036.1,Unknown,Unknown,Unknown
"MK425037.1 Klebsiella pneumoniae strain ASKPNKP24 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0040_Unknown_Unknown,MK425037.1,Unknown,Unknown,Unknown
"MK425038.1 Klebsiella pneumoniae strain ASKPNKP27 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0041_Unknown_Unknown,MK425038.1,Unknown,Unknown,Unknown
"MK425039.1 Klebsiella pneumoniae strain ASKPNKP28 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0042_Unknown_Unknown,MK425039.1,Unknown,Unknown,Unknown
"MK425040.1 Klebsiella pneumoniae strain ASKPNKP29 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0043_Unknown_Unknown,MK425040.1,Unknown,Unknown,Unknown
"MK425041.1 Klebsiella pneumoniae strain ASKPNKP32 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0044_Unknown_Unknown,MK425041.1,Unknown,Unknown,Unknown
"MK425042.1 Klebsiella pneumoniae strain ASKPNKP33 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0045_Unknown_Unknown,MK425042.1,Unknown,Unknown,Unknown
"MK425043.1 Klebsiella pneumoniae strain ASKPNKP34 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0046_Unknown_Unknown,MK425043.1,Unknown,Unknown,Unknown
"MK425044.1 Klebsiella pneumoniae strain ASKPNKP35 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0047_Unknown_Unknown,MK425044.1,Unknown,Unknown,Unknown
"MK425035.1 Klebsiella pneumoniae strain ASKPNKP22 subclass B1 metallo-beta-lactamase NDM-28 (blaNDM) gene, blaNDM-28 allele, complete cds",KpNDM_0048_Unknown_Unknown,MK425035.1,Unknown,Unknown,Unknown
"MK425045.1 Klebsiella pneumoniae strain ASKPNKP2 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0049_Unknown_Unknown,MK425045.1,Unknown,Unknown,Unknown
"MK425046.1 Klebsiella pneumoniae strain ASKPNKP4 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0050_Unknown_Unknown,MK425046.1,Unknown,Unknown,Unknown
"MK425047.1 Klebsiella pneumoniae strain ASKPNKP5 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0051_Unknown_Unknown,MK425047.1,Unknown,Unknown,Unknown
"MK425048.1 Klebsiella pneumoniae strain ASKPNKP7 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0052_Unknown_Unknown,MK425048.1,Unknown,Unknown,Unknown
"MK425049.1 Klebsiella pneumoniae strain ASKPNKP8 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0053_Unknown_Unknown,MK425049.1,Unknown,Unknown,Unknown
"MK425050.1 Klebsiella pneumoniae strain ASKPNKP12 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0054_Unknown_Unknown,MK425050.1,Unknown,Unknown,Unknown
"MK425051.1 Klebsiella pneumoniae strain ASKPNKP13 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0055_Unknown_Unknown,MK425051.1,Unknown,Unknown,Unknown
"MK425052.1 Klebsiella pneumoniae strain ASKPNKP14 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0056_Unknown_Unknown,MK425052.1,Unknown,Unknown,Unknown
"MK425053.1 Klebsiella pneumoniae strain ASKPNKP15 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0057_Unknown_Unknown,MK425053.1,Unknown,Unknown,Unknown
"MK425054.1 Klebsiella pneumoniae strain ASKPNKP17 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0058_Unknown_Unknown,MK425054.1,Unknown,Unknown,Unknown
"MK425055.1 Klebsiella pneumoniae strain ASKPNKP18 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0059_Unknown_Unknown,MK425055.1,Unknown,Unknown,Unknown
"MK425056.1 Klebsiella pneumoniae strain ASKPNKP25 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0060_Unknown_Unknown,MK425056.1,Unknown,Unknown,Unknown
"MK425057.1 Klebsiella pneumoniae strain ASKPNKP26 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0061_Unknown_Unknown,MK425057.1,Unknown,Unknown,Unknown
"MK425058.1 Klebsiella pneumoniae strain ASKPNKP31 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0062_Unknown_Unknown,MK425058.1,Unknown,Unknown,Unknown
"MK425059.1 Klebsiella pneumoniae strain ASKPNKP10 subclass B1 metallo-beta-lactamase NDM-7 (blaNDM) gene, blaNDM-7 allele, complete cds",KpNDM_0063_Unknown_Unknown,MK425059.1,Unknown,Unknown,Unknown
"MK425060.1 Klebsiella pneumoniae strain ASKPNKP11 subclass B1 metallo-beta-lactamase NDM-7 (blaNDM) gene, blaNDM-7 allele, complete cds",KpNDM_0064_Unknown_Unknown,MK425060.1,Unknown,Unknown,Unknown
"MK425061.1 Klebsiella pneumoniae strain ASKPNKP30 subclass B1 metallo-beta-lactamase NDM-7 (blaNDM) gene, blaNDM-7 allele, complete cds",KpNDM_0065_Unknown_Unknown,MK425061.1,Unknown,Unknown,Unknown
"NG_064729.1 Klebsiella pneumoniae ASKPNKP22 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-28, complete CDS",KpNDM_0066_Unknown_Unknown,NG_064729.1,Unknown,Unknown,Unknown
"MF379693.1 Klebsiella pneumoniae strain CDBT NT NP002 carbapenemase (blaNDM) gene, complete cds",KpNDM_0067_Unknown_Unknown,MF379693.1,Unknown,Unknown,Unknown
"MH986670.1 Klebsiella pneumoniae strain 18AR0740 subclass B1 metallo-beta-lactamase NDM-25 (blaNDM) gene, blaNDM-25 allele, complete cds",KpNDM_0068_Unknown_Unknown,MH986670.1,Unknown,Unknown,Unknown
"NG_066711.1 Klebsiella pneumoniae 18AR0740 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-25, complete CDS",KpNDM_0069_Unknown_Unknown,NG_066711.1,Unknown,Unknown,Unknown
"MT462582.1 Klebsiella pneumoniae strain KJ10 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0070_Unknown_Unknown,MT462582.1,Unknown,Unknown,Unknown
"MN786376.1 Klebsiella pneumoniae strain NC1 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0071_Unknown_Unknown,MN786376.1,Unknown,Unknown,Unknown
"MN786377.1 Klebsiella pneumoniae strain NC28 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0072_Unknown_Unknown,MN786377.1,Unknown,Unknown,Unknown
"MN786378.1 Klebsiella pneumoniae strain P73 subclass B1 metallo-beta-lactamase NDM-7 (blaNDM) gene, blaNDM-7 allele, complete cds",KpNDM_0073_Unknown_Unknown,MN786378.1,Unknown,Unknown,Unknown
"NG_049333.1 Klebsiella pneumoniae 1121740 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-16a, complete CDS",KpNDM_0074_Unknown_Unknown,NG_049333.1,Unknown,Unknown,Unknown
"MW382955.1 Klebsiella pneumoniae strain SKJ3 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0075_Unknown_Unknown,MW382955.1,Unknown,Unknown,Unknown
"MW382956.1 Klebsiella pneumoniae strain SKJ7 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0076_Unknown_Unknown,MW382956.1,Unknown,Unknown,Unknown
"MW382957.1 Klebsiella pneumoniae strain SKJ10 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0077_Unknown_Unknown,MW382957.1,Unknown,Unknown,Unknown
"MW382958.1 Klebsiella pneumoniae strain SKJ11 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0078_Unknown_Unknown,MW382958.1,Unknown,Unknown,Unknown
"MZ557403.1 Klebsiella pneumoniae strain AF14 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0079_Unknown_Unknown,MZ557403.1,Unknown,Unknown,Unknown
"MW581777.1 Klebsiella pneumoniae strain KP29 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0080_Unknown_Unknown,MW581777.1,Unknown,Unknown,Unknown
"MW581778.1 Klebsiella pneumoniae strain KP30 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0081_Unknown_Unknown,MW581778.1,Unknown,Unknown,Unknown
"MW581779.1 Klebsiella pneumoniae strain KP31 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0082_Unknown_Unknown,MW581779.1,Unknown,Unknown,Unknown
"MW581780.1 Klebsiella pneumoniae strain KP32 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0083_Unknown_Unknown,MW581780.1,Unknown,Unknown,Unknown
"MW581781.1 Klebsiella pneumoniae strain KP33 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0084_Unknown_Unknown,MW581781.1,Unknown,Unknown,Unknown
"MW581782.1 Klebsiella pneumoniae strain KP34 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0085_Unknown_Unknown,MW581782.1,Unknown,Unknown,Unknown
"MW581783.1 Klebsiella pneumoniae strain KP35 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0086_Unknown_Unknown,MW581783.1,Unknown,Unknown,Unknown
"MW581784.1 Klebsiella pneumoniae strain KP36 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0087_Unknown_Unknown,MW581784.1,Unknown,Unknown,Unknown
"MW581785.1 Klebsiella pneumoniae strain KP37 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0088_Unknown_Unknown,MW581785.1,Unknown,Unknown,Unknown
"MW581786.1 Klebsiella pneumoniae strain KP38 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0089_Unknown_Unknown,MW581786.1,Unknown,Unknown,Unknown
"MW581787.1 Klebsiella pneumoniae strain KP39 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0090_Unknown_Unknown,MW581787.1,Unknown,Unknown,Unknown
"MW581788.1 Klebsiella pneumoniae strain KP40 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0091_Unknown_Unknown,MW581788.1,Unknown,Unknown,Unknown
"MW581789.1 Klebsiella pneumoniae strain KP41 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0092_Unknown_Unknown,MW581789.1,Unknown,Unknown,Unknown
"MW581790.1 Klebsiella pneumoniae strain KP42 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0093_Unknown_Unknown,MW581790.1,Unknown,Unknown,Unknown
"MW581791.1 Klebsiella pneumoniae strain KP43 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0094_Unknown_Unknown,MW581791.1,Unknown,Unknown,Unknown
"MW581794.1 Klebsiella pneumoniae strain KP46 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0095_Unknown_Unknown,MW581794.1,Unknown,Unknown,Unknown
"MW581793.1 Klebsiella pneumoniae strain KP45 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0096_Unknown_Unknown,MW581793.1,Unknown,Unknown,Unknown
"MW581792.1 Klebsiella pneumoniae strain KP44 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0097_Unknown_Unknown,MW581792.1,Unknown,Unknown,Unknown
"MZ913436.1 Klebsiella pneumoniae strain 140507 plasmid subclass B1 metallo-beta-lactamase NDM-41 (blaNDM) gene, blaNDM-41 allele, complete cds",KpNDM_0098_Unknown_Unknown,MZ913436.1,Unknown,Unknown,Unknown
"NG_076842.1 Klebsiella pneumoniae 01B18CPO004 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-39, complete CDS",KpNDM_0099_Unknown_Unknown,NG_076842.1,Unknown,Unknown,Unknown
"MZ748325.1 Klebsiella pneumoniae strain 01B18CPO004 subclass B1 metallo-beta-lactamase NDM-39 (blaNDM) gene, blaNDM-39 allele, complete cds",KpNDM_0100_Unknown_Unknown,MZ748325.1,Unknown,Unknown,Unknown
"OL542504.1 Klebsiella pneumoniae strain KP-3 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0101_Unknown_Unknown,OL542504.1,Unknown,Unknown,Unknown
"OL542503.1 Klebsiella pneumoniae strain KP-2 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0102_Unknown_Unknown,OL542503.1,Unknown,Unknown,Unknown
"OL542502.1 Klebsiella pneumoniae strain KP-1 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0103_Unknown_Unknown,OL542502.1,Unknown,Unknown,Unknown
"OL542506.1 Klebsiella pneumoniae strain KP-6 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0104_Unknown_Unknown,OL542506.1,Unknown,Unknown,Unknown
"OL542505.1 Klebsiella pneumoniae strain KP-4 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0105_Unknown_Unknown,OL542505.1,Unknown,Unknown,Unknown
"MZ419354.1 Klebsiella pneumoniae strain NKP52 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0106_Unknown_Unknown,MZ419354.1,Unknown,Unknown,Unknown
"MZ419353.1 Klebsiella pneumoniae strain NKP49 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0107_Unknown_Unknown,MZ419353.1,Unknown,Unknown,Unknown
"MZ419352.1 Klebsiella pneumoniae strain NKP46 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0108_Unknown_Unknown,MZ419352.1,Unknown,Unknown,Unknown
"MZ419351.1 Klebsiella pneumoniae strain NKP42 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0109_Unknown_Unknown,MZ419351.1,Unknown,Unknown,Unknown
"MZ419350.1 Klebsiella pneumoniae strain NKP32 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0110_Unknown_Unknown,MZ419350.1,Unknown,Unknown,Unknown
"MZ419349.1 Klebsiella pneumoniae strain NKP5 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0111_Unknown_Unknown,MZ419349.1,Unknown,Unknown,Unknown
"MW036197.1 Klebsiella pneumoniae strain K74-A3 plasmid subclass B1 metallo-beta-lactamase NDM-7 (blaNDM) gene, blaNDM-7 allele, complete cds",KpNDM_0112_Unknown_Unknown,MW036197.1,Unknown,Unknown,Unknown
"MT312213.1 Klebsiella pneumoniae strain K17 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0113_Unknown_Unknown,MT312213.1,Unknown,Unknown,Unknown
"NG_078034.1 Klebsiella pneumoniae 140507 plasmid unnamed blaNDM gene for subclass B1 metallo-beta-lactamase NDM-41, complete CDS",KpNDM_0114_Unknown_Unknown,NG_078034.1,Unknown,Unknown,Unknown
"NG_246047.1 Klebsiella pneumoniae KPN 5708 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-97, complete CDS",KpNDM_0115_Unknown_Unknown,NG_246047.1,Unknown,Unknown,Unknown
"PZ020858.1 Klebsiella pneumoniae subsp. pneumoniae strain KP2 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0116_Unknown_Unknown,PZ020858.1,Unknown,Unknown,Unknown
"NG_245928.1 Klebsiella pneumoniae HS370 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-96, complete CDS",KpNDM_0117_Unknown_Unknown,NG_245928.1,Unknown,Unknown,Unknown
"NG_245926.1 Klebsiella pneumoniae NRZ-104155b blaNDM gene for subclass B1 metallo-beta-lactamase NDM-94, complete CDS",KpNDM_0118_Unknown_Unknown,NG_245926.1,Unknown,Unknown,Unknown
"PX759025.1 Klebsiella pneumoniae strain HS370 subclass B1 metallo-beta-lactamase NDM-96 (blaNDM) gene, blaNDM-96 allele, complete cds",KpNDM_0119_Unknown_Unknown,PX759025.1,Unknown,Unknown,Unknown
"PX516303.1 Klebsiella pneumoniae strain NRZ-104155b subclass B1 metallo-beta-lactamase NDM-94 (blaNDM) gene, blaNDM-94 allele, complete cds",KpNDM_0120_Unknown_Unknown,PX516303.1,Unknown,Unknown,Unknown
"NG_149664.1 Klebsiella pneumoniae 2022EP-00149 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-50, complete CDS",KpNDM_0121_Unknown_Unknown,NG_149664.1,Unknown,Unknown,Unknown
"PX204626.1 Klebsiella pneumoniae strain KK6 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0122_Unknown_Unknown,PX204626.1,Unknown,Unknown,Unknown
"PX204620.1 Klebsiella pneumoniae strain KK3 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0123_Unknown_Unknown,PX204620.1,Unknown,Unknown,Unknown
"PX204621.1 Klebsiella pneumoniae strain KK4 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0124_Unknown_Unknown,PX204621.1,Unknown,Unknown,Unknown
"PX204625.1 Klebsiella pneumoniae strain KK5 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0125_Unknown_Unknown,PX204625.1,Unknown,Unknown,Unknown
"PV088247.1 Klebsiella pneumoniae strain NRZ-101528 subclass B1 metallo-beta-lactamase NDM-84 (blaNDM) gene, blaNDM-84 allele, complete cds",KpNDM_0126_Unknown_Unknown,PV088247.1,Unknown,Unknown,Unknown
"NG_244540.1 Klebsiella pneumoniae FI-110223 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-63, complete CDS",KpNDM_0127_Unknown_Unknown,NG_244540.1,Unknown,Unknown,Unknown
"NG_244544.1 Klebsiella pneumoniae NRZ-101528 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-84, complete CDS",KpNDM_0128_Unknown_Unknown,NG_244544.1,Unknown,Unknown,Unknown
"PX204619.1 Klebsiella pneumoniae strain KK2 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0129_Unknown_Unknown,PX204619.1,Unknown,Unknown,Unknown
"NG_243474.1 Klebsiella pneumoniae NRZ-97375 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-72, complete CDS",KpNDM_0130_Unknown_Unknown,NG_243474.1,Unknown,Unknown,Unknown
"PV153721.1 Klebsiella pneumoniae subsp. pneumoniae strain SB-196 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0131_Unknown_Unknown,PV153721.1,Unknown,Unknown,Unknown
"NG_243596.1 Klebsiella pneumoniae 23-039137-01 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-73, complete CDS",KpNDM_0132_Unknown_Unknown,NG_243596.1,Unknown,Unknown,Unknown
"PV153722.1 Klebsiella pneumoniae subsp. pneumoniae strain SB-203 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0133_Unknown_Unknown,PV153722.1,Unknown,Unknown,Unknown
"PQ117761.1 Klebsiella pneumoniae strain NRZ-97768 subclass B1 metallo-beta-lactamase NDM-71 (blaNDM) gene, blaNDM-71 allele, complete cds",KpNDM_0134_Unknown_Unknown,PQ117761.1,Unknown,Unknown,Unknown
"PQ117763.1 Klebsiella pneumoniae strain NRZ-97375 subclass B1 metallo-beta-lactamase NDM-72 (blaNDM) gene, blaNDM-72 allele, complete cds",KpNDM_0135_Unknown_Unknown,PQ117763.1,Unknown,Unknown,Unknown
"PQ394556.1 Klebsiella pneumoniae strain 23-039137-01 subclass B1 metallo-beta-lactamase NDM-73 (blaNDM) gene, blaNDM-73 allele, complete cds",KpNDM_0136_Unknown_Unknown,PQ394556.1,Unknown,Unknown,Unknown
"NG_243473.1 Klebsiella pneumoniae NRZ-97768 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-71, complete CDS",KpNDM_0137_Unknown_Unknown,NG_243473.1,Unknown,Unknown,Unknown
"OP346110.1 Klebsiella pneumoniae strain CRE92a subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0138_Unknown_Unknown,OP346110.1,Unknown,Unknown,Unknown
"OP346111.1 Klebsiella pneumoniae strain CRE93a subclass B1 metallo-beta-lactamase NDM-7 (blaNDM) gene, blaNDM-7 allele, complete cds",KpNDM_0139_Unknown_Unknown,OP346111.1,Unknown,Unknown,Unknown
"NG_231554.1 Klebsiella pneumoniae blaNDM gene for subclass B1 metallo-beta-lactamase NDM-61, complete CDS",KpNDM_0140_Unknown_Unknown,NG_231554.1,Unknown,Unknown,Unknown
"NG_067145.1 Klebsiella pneumoniae blaNDM gene for subclass B1 metallo-beta-lactamase NDM-29, complete CDS",KpNDM_0141_Unknown_Unknown,NG_067145.1,Unknown,Unknown,Unknown
"OP346109.1 Klebsiella pneumoniae strain CRE91a subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0142_Unknown_Unknown,OP346109.1,Unknown,Unknown,Unknown
"OP346107.1 Klebsiella pneumoniae strain CRE85a subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0143_Unknown_Unknown,OP346107.1,Unknown,Unknown,Unknown
"OP346105.1 Klebsiella pneumoniae strain CRE107 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0144_Unknown_Unknown,OP346105.1,Unknown,Unknown,Unknown
"OP346103.1 Klebsiella pneumoniae strain CRE96 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0145_Unknown_Unknown,OP346103.1,Unknown,Unknown,Unknown
"OP346102.1 Klebsiella pneumoniae strain CRE94 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0146_Unknown_Unknown,OP346102.1,Unknown,Unknown,Unknown
"OP346092.1 Klebsiella pneumoniae strain CRE18 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0147_Unknown_Unknown,OP346092.1,Unknown,Unknown,Unknown
"OP346094.1 Klebsiella pneumoniae strain CRE42 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0148_Unknown_Unknown,OP346094.1,Unknown,Unknown,Unknown
"OP346095.1 Klebsiella pneumoniae strain CRE50 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0149_Unknown_Unknown,OP346095.1,Unknown,Unknown,Unknown
"OP346099.1 Klebsiella pneumoniae strain CRE69 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0150_Unknown_Unknown,OP346099.1,Unknown,Unknown,Unknown
"OP346087.1 Klebsiella pneumoniae strain CRE48 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0151_Unknown_Unknown,OP346087.1,Unknown,Unknown,Unknown
