original_id,short_id,accession,organism,country,year
"ON553465.1 Klebsiella pneumoniae subsp. pneumoniae strain MMGN70 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0191_Unknown_Unknown,ON553465.1,Unknown,Unknown,Unknown
"ON511106.1 Klebsiella pneumoniae subsp. pneumoniae strain MMGN224 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0192_Unknown_Unknown,ON511106.1,Unknown,Unknown,Unknown
"ON511105.1 Klebsiella pneumoniae subsp. pneumoniae strain MMGA96 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0193_Unknown_Unknown,ON511105.1,Unknown,Unknown,Unknown
"ON511104.1 Klebsiella pneumoniae subsp. pneumoniae strain MMGX130 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0194_Unknown_Unknown,ON511104.1,Unknown,Unknown,Unknown
"ON511103.1 Klebsiella pneumoniae subsp. pneumoniae strain MMGK9 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0195_Unknown_Unknown,ON511103.1,Unknown,Unknown,Unknown
"ON511102.1 Klebsiella pneumoniae subsp. pneumoniae strain MMGK6 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0196_Unknown_Unknown,ON511102.1,Unknown,Unknown,Unknown
"ON511101.1 Klebsiella pneumoniae subsp. pneumoniae strain MMGA109 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0197_Unknown_Unknown,ON511101.1,Unknown,Unknown,Unknown
"OM937932.1 Klebsiella pneumoniae subsp. pneumoniae strain CMVD14 plasmid subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0198_Unknown_Unknown,OM937932.1,Unknown,Unknown,Unknown
"OL542508.1 Klebsiella pneumoniae strain KP-8 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0199_Unknown_Unknown,OL542508.1,Unknown,Unknown,Unknown
"OL542507.1 Klebsiella pneumoniae strain KP-7 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0200_Unknown_Unknown,OL542507.1,Unknown,Unknown,Unknown
"NZ_PXKW01000128.1 Klebsiella pneumoniae strain CRE28 NODE_128_length_521_cov_3.13519, whole genome shotgun sequence",KpNDM_0201_Unknown_Unknown,NZ_PXKW01000128.1,Unknown,Unknown,Unknown
"NZ_PXKW01000129.1 Klebsiella pneumoniae strain CRE28 NODE_129_length_510_cov_1.93187, whole genome shotgun sequence",KpNDM_0202_Unknown_Unknown,NZ_PXKW01000129.1,Unknown,Unknown,Unknown
"JF798500.1 Klebsiella pneumoniae strain Res2010-21 metallo-beta-lactamase 1 (blaNDM-1) gene, complete cds",KpNDM_0203_Unknown_Unknown,JF798500.1,Unknown,Unknown,Unknown
"JF798499.1 Klebsiella pneumoniae strain Res2010-17 metallo-beta-lactamase 1 (blaNDM-1) gene, complete cds",KpNDM_0204_Unknown_Unknown,JF798499.1,Unknown,Unknown,Unknown
